project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
0,Generic,https://github.com/robotman3000/spent.git,false,false,false,0,0,60811,0,,,,0,1,Swift,85339796,true,true,true,false,1565132086,1633105572,1652275938,"swift","","","The simple expense tracker",4,363,1,2,2,401,299,292,0,292,401,Swift,0.6039058587881823,1206,0,9005000,4559315,89041784,3701988,false,227,2,true,13,13,1,1,1,1,1,1
1,Generic,https://github.com/startbootstrap/startbootstrap-clean-blog.git,false,false,false,1637,1637,24908,4,,,,1800,62,,233856134,true,true,true,true,1414196963,1653923729,1652733088,"master","MIT License","https://startbootstrap.com/theme/clean-blog/","A clean Bootstrap blog theme created by Start Bootstrap",2,140,11,11,12,1845,441,288,124,1065,1845,Other,0.8181253879577902,3954,0,15947791,11856497,239976830,6120696,false,3058,3,true,12,10.55,4,1,1,1,1,1
2,Generic,https://github.com/doudoufans/antddemo.git,false,false,false,1,1,57452,1,,,,0,1,JavaScript,22364291,true,true,true,false,1587525766,1587884674,1609894426,"master","","","",2,3,2,2,3,57621,28476,7051,228,7508,57621,JavaScript,0.594849278933759,34277,0,22363969,804947212,66644617,44280326,true,509,72,true,35,12.333333333333334,1,1,1,1,1,1
3,Generic,https://github.com/encubedlabs/blogtemplate.git,false,false,false,0,0,3917,0,,,,0,2,JavaScript,1294469,true,true,true,false,1589105704,1590399919,1590399916,"master","MIT License","","Base GatsbyJS template",1,5,1,1,1,27,27,17,0,17,27,JavaScript,0.5,20,0,691136,397599974,65069309,63774840,true,20670,0,true,1,1,1,1,1,1,1,1
4,Generic,https://github.com/eswarvarma-dev/hyf-homework-nodejs-3.git,false,false,false,0,0,239,1,,,,0,1,JavaScript,489675,true,true,true,false,1582894075,1582894083,1582894079,"master","","https://lab.github.com/M3kH/create-rest-server-with-nodejs-and-express","",5,8,1,1,1,14,10,6,0,6,14,Other,0.631578947368421,12,0,304892,223979960,86624306,86315019,true,83,0,true,1,1,1,1,1,1,1,1
5,Generic,https://github.com/formattedzzz/react-team.git,false,false,false,0,0,914,6,,,,0,0,JavaScript,50610763,true,true,true,false,1562316881,1571825782,1599707168,"master","","","",7,9,2,2,3,65,49,34,4,45,65,JavaScript,0.4691358024691358,38,0,13220189,199963396,105078333,54467570,true,2903,0,true,35,24,2,2,1,2,1,1
6,Generic,https://github.com/jzecca/color-curve-adjust.git,false,false,false,3,3,127,2,,,,0,1,TypeScript,74507946,true,true,false,false,1560260358,1643937787,1634768946,"master","MIT License","","Performs a Photoshop/GIMP curve adjustment on a RGB color",1,7,2,2,3,26,20,19,0,19,26,Other,0.7441860465116279,32,0,73386790,272461479,93913810,19405864,false,291,0,true,2,1.7142857142857142,2,1,1,2,2,1
7,Generic,https://github.com/manu506-1234/bwm-react.git,false,false,false,0,0,577,6,,,,0,0,JavaScript,93241114,true,true,true,false,1559938993,1560091629,1620781887,"master","","","",7,9,4,3,5,30,22,16,0,16,30,Other,0.532258064516129,33,0,32550353,202597736,126633964,33392850,true,12118,0,true,35,23.666666666666668,3,2,1,4,3,2
8,Generic,https://github.com/marwen-selmi/hoc-movieapp.git,false,false,false,0,0,177,0,,,,0,1,JavaScript,195182,true,true,true,false,1585765220,1585765587,1585765584,"master","","","",1,2,1,1,1,26,21,14,0,14,26,JavaScript,0.45161290322580644,14,0,195182,1585765543,68604375,68409193,true,15690,0,true,1,1,1,1,1,1,1,1
9,Generic,https://github.com/mishon-pon-pon/goreact.git,false,false,false,0,0,661,1,,,,0,2,JavaScript,59678052,true,true,true,false,1584850912,1584975504,1644528966,"master","","","",2,5,3,3,4,60,34,28,0,28,60,Other,0.5441176470588235,37,0,59553472,411132241,69323824,9645772,false,16402,0,true,35,7.8,2,2,1,2,2,1
10,Generic,https://github.com/momentum-team-1/js-problem-set-2-aaron-1453.git,false,false,false,0,0,9,1,,,,0,2,JavaScript,34658977,true,true,true,false,1588087579,1588117129,1588117128,"master","","","js-problem-set-2-Aaron-1453 created by GitHub Classroom",2,8,3,3,3,5,10,1,8,17,5,JavaScript,0.5833333333333334,7,1,20290551,226873874,100716597,66057620,true,244,0,true,2,1.625,2,2,1,2,1,1
11,Generic,https://github.com/momentum-team-1/js-problem-set-2-alyshialozanosmith.git,false,false,false,0,0,9,1,,,,0,2,JavaScript,34662821,true,true,true,false,1588092498,1588120980,1588120979,"master","","","js-problem-set-2-AlyshiaLozanoSmith created by GitHub Classroom",2,8,3,3,3,5,10,1,0,1,5,JavaScript,0.5833333333333334,7,0,20295471,226874423,100716597,66053776,true,236,0,true,2,1.625,2,2,1,2,1,1
12,Generic,https://github.com/nnk-ymmt/myslideshow-training.git,false,false,false,0,0,18,0,,,,0,1,JavaScript,868491,true,true,true,false,1586695423,1587564116,1587564114,"master","","","",1,2,2,2,3,12,2,2,0,2,12,Other,0.75,9,0,868491,1587564113,67479115,66610624,true,101,0,true,1,1,1,1,1,1,1,1
13,Generic,https://github.com/qq853838500/movierecommendsystem.git,false,false,false,0,0,1156,0,,,,0,1,Scala,142240,true,true,true,false,1589261683,1589261697,1589261694,"master","","","",1,4,1,1,1,18,8,8,0,8,18,Other,0.6521739130434783,15,0,85443,518093886,100035319,99893079,true,847,0,true,1,1,1,1,1,1,1,1
14,Generic,https://github.com/tejj2103/randomuser.git,false,false,false,0,0,41,2,,,,0,1,JavaScript,55804569,true,true,true,false,1588944048,1588972547,1644748632,"master","","","fecth random user from api and create an api to fetch on the whole list of data based on Nationalities and age group.",3,4,2,2,3,19,15,15,0,15,19,JavaScript,0.5,11,0,45582417,548249544,65230675,9426106,false,1286,0,true,35,18,2,2,1,1,1,1
15,Generic,https://github.com/tenphi/targ.git,false,false,false,2,2,124,0,,,,0,2,CoffeeScript,407312,true,true,true,false,1352647638,1358044226,1353054936,"master","MIT License","","Typed-based handling for missed function arguments",1,6,1,1,1,7,12,12,0,12,7,Other,0.5294117647058824,9,0,327976,270610986,301527120,301119808,true,261,0,true,1,1,1,1,1,1,1,1
16,Generic,https://github.com/tonyrlim/reversestring.git,false,false,false,0,0,0,0,,,,0,1,JavaScript,587,true,true,true,false,1594312749,1594313322,1594313320,"master","","","First Idea of how to Reverse a String in JS",1,2,1,1,2,1,2,2,0,2,1,JavaScript,1,2,0,587,1594313313,59862011,59861424,true,21,0,true,1,1,1,1,1,1,1,1
17,Generic,https://github.com/evergreen-ci/evergreen.git,false,false,false,351,351,156946,12,,,,106,21,Go,229796329,false,true,true,false,1432749789,1653447131,1654172856,"main","Other","https://evergreen.mongodb.com/waterfall/evergreen","A Distributed Continuous Integration System from MongoDB",25,8324,106,58,111,56009,76219,75464,672,76886,56009,Go,0.775902674573041,157149,0,1040044,198738,229874592,78263,false,543518,0,true,24,14.576525708793849,37,16,6,17,7,2
18,Generic,https://github.com/daveton/react-st.git,false,false,false,0,0,43190,1,,,,0,1,HTML,4234359,true,true,true,false,1632302824,1636707677,1636709061,"master","","","",3,77,2,2,3,35566,20589,8118,0,8118,35566,JavaScript,0.6475859751316232,23124,0,1543921,21535645,21700242,17465883,true,17434,2,true,2,1.9090909090909092,2,1,1,1,1,1
19,Generic,https://github.com/qilianshuo/qilianshuo.github.io.git,false,false,false,0,0,8722,0,,,,0,0,HTML,6938192,true,true,true,true,1569741771,1643951361,1650883827,"master","","","",1,27,1,1,1,678,551,545,1,547,678,Other,0.4717330861909175,509,0,3030840,63495532,10229297,3291105,true,25816,0,true,3,3,1,1,1,1,1,1
20,Generic,https://github.com/sebastian-getts/notes.git,false,false,false,0,0,44525,21,,,,0,2,HTML,81070458,true,true,true,false,1572452724,1652510685,1653523970,"source","","","My blogs' notes.",22,103,3,3,4,265876,17183,12099,21,12144,265876,Other,0.5479699172617105,152791,0,15735803,16211019,81721453,650995,false,844508,0,true,35,11.58252427184466,3,2,1,2,1,1
21,Generic,https://github.com/volgactf/volgactf-qualifier-frontend.git,false,false,false,2,2,3325,1,,,,1,3,HTML,224309237,true,true,false,false,1421772946,1645905505,1646082192,"master","MIT License","","VolgaCTF Qualifier platform frontend",2,335,6,6,6,373,1590,1590,0,1590,373,JavaScript,0.43263403263403266,928,0,30751626,4928390,232401985,8092748,false,34767,0,true,7,5.3194029850746265,3,2,1,2,2,1
22,Generic,https://github.com/1010993137/hrm.git,false,false,false,0,0,10217,4,,,,0,2,JavaScript,120032688,true,true,true,false,1589188732,1590938369,1644445518,"master","MIT License","","",5,885,55,53,57,2040,4542,4519,0,4519,2040,Java,0.38736743969234355,3324,0,28172950,1860232,129762172,9729484,false,189219,0,true,35,15.824858757062147,27,3,1,5,2,1
23,Generic,https://github.com/189569400/jumpserver.git,false,false,false,0,0,50334,0,,,,0,1,JavaScript,182666086,true,true,true,false,1587131355,1587132170,1587132085,"master","GNU General Public License v2.0","","https://github.com/jumpserver/jumpserver.git",11,5846,119,73,120,5349,14872,14240,20,14280,5349,Python,0.46604612679698004,22531,0,3544641,271533,249728807,67062721,true,142917,0,true,34,22.015908313376666,18,5,1,11,5,1
24,Generic,https://github.com/1906-share-code/code-share.git,false,false,false,0,0,3326,19,,,,0,1,JavaScript,162795768,true,true,true,false,1565797132,1567605987,1649801552,"master","MIT License","","",29,369,26,14,27,91,570,180,0,180,91,JavaScript,0.5784499054820416,612,28,23811111,4483156,167169183,4373415,false,28297,0,true,35,5.607046070460704,14,6,3,13,4,2
25,Generic,https://github.com/2019-echo-team-kali/career-track-application.git,false,false,false,0,0,1718,25,,,,2,3,JavaScript,78754470,true,true,true,false,1575320456,1576709062,1654074607,"master","","","This is our Capstone Project which is a job tracking software that enables users to manage their job searching process",110,311,10,9,11,239,598,563,0,563,239,JavaScript,0.6108626198083067,956,0,11907924,5335725,78854827,100357,false,4326,0,true,35,3.842443729903537,6,3,2,5,2,1
26,Generic,https://github.com/30-seconds/30-seconds-of-code.git,false,false,false,96059,96059,28743,0,,,,10156,2447,JavaScript,141571214,true,true,true,false,1511976903,1654173655,1653548122,"master","Creative Commons Attribution 4.0 International","https://www.30secondsofcode.org/js/p/1","Short JavaScript code snippets for all your development needs",1,5460,301,191,303,2999,9407,9403,1,9413,2999,Other,0.5738267076039715,28782,0,4581328,302903,142198161,626947,false,1,0,true,35,14.105128205128205,77,8,2,12,4,1
27,Generic,https://github.com/377014200/react-diary.git,false,false,false,1,1,691,17,,,,1,1,JavaScript,86461797,true,true,true,false,1567600270,1596802130,1654062512,"master","","","",18,166,3,3,4,117,113,113,0,113,117,Other,0.6360294117647058,173,0,15993596,10024621,86574282,112485,false,11298,0,true,35,5.355421686746988,2,1,1,2,1,1
28,Generic,https://github.com/4gmz/plantillashtml1.git,false,false,false,0,0,20686,10,,,,0,1,JavaScript,236839920,true,true,true,true,1583844868,1583847508,1644724067,"master","MIT License","","",12,238,19,16,20,3869,1413,15,0,15,3869,Other,0.8337102366953113,11060,0,15986982,6939764,246290852,9450932,false,39148,0,true,35,10.134453781512605,8,2,1,2,2,1
29,Generic,https://github.com/6gawd/whatsfordinner3.git,false,false,false,0,0,90054,17,,,,0,1,JavaScript,97529114,true,true,true,false,1584936025,1592327369,1654091973,"master","","","Speech to Text API that helps you with your grocery shopping and figuring out what to eat for dinner!",18,172,8,5,9,107,368,357,0,357,107,JavaScript,0.6960352422907489,632,0,27822363,9673052,97612108,82994,false,16970,0,true,35,5.819767441860465,7,6,3,7,5,3
30,Generic,https://github.com/8bitjonny/jsgame.git,false,false,false,0,0,1029,15,,,,0,0,JavaScript,93501886,true,true,true,false,1560550131,1601044902,1654053121,"master","GNU General Public License v3.0","","A web game with a self written game engine in pure js",19,119,5,3,6,124,331,330,0,330,124,JavaScript,0.5846702317290553,328,0,16877673,14017399,93623770,121884,false,9787,0,true,35,9.394957983193278,5,3,2,4,3,1
31,Generic,https://github.com/93jcbo/empathize-blog.git,false,false,false,0,0,13655,0,,,,0,2,JavaScript,152265728,true,true,true,false,1584729667,1586331976,1586331973,"master","","","",1,1268,45,34,46,105,910,11,0,11,105,Other,0.8294746215494212,1863,13,6116870,1252038,220108903,67843175,true,14939,0,true,13,9.063880126182966,7,3,1,9,3,2
32,Generic,https://github.com/98group1/microcredit.git,false,false,false,0,0,12923,6,,,,0,1,JavaScript,80079473,true,true,true,false,1564365595,1565352771,1644444963,"master","","","二期项目",7,116,6,6,7,646,553,499,38,575,646,Other,0.48236196319018404,2516,0,37248707,14299521,89809524,9730051,false,301896,0,true,35,2.7586206896551726,5,4,2,5,4,2
33,Generic,https://github.com/a-modern-fruit-shop-2001-tof232c/a-modern-fruit-stand.git,false,false,false,6,6,4522,27,,,,0,1,JavaScript,162796090,true,true,true,false,1583168175,1586894792,1649801875,"master","MIT License","","https://modern-fruit-stand.herokuapp.com/",22,547,33,18,34,108,900,504,1,510,108,JavaScript,0.7921348314606742,1974,28,23384318,3021615,167169224,4373134,false,17261,0,true,35,4.248628884826325,16,9,4,12,7,4
34,Generic,https://github.com/aadityasharma/aadi-blog-netlify.git,false,false,false,0,0,12027,20,,,,0,1,JavaScript,215409869,true,true,true,false,1568045268,1568045463,1649475961,"master","MIT License","","",20,644,45,33,46,96,820,20,0,20,96,Other,0.7618421052631579,1158,13,18056305,2565281,220108912,4699043,false,18190,0,true,35,9.917701863354038,15,2,1,12,2,2
35,Generic,https://github.com/aaronkim662/ruksak.git,false,false,false,0,0,9607,8,,,,1,1,JavaScript,81047525,true,true,true,false,1568428597,1572901739,1649476099,"master","","","",10,278,6,4,7,4850,3518,970,0,970,4850,JavaScript,0.6094973890339426,3735,0,15803519,5954787,85746428,4698903,false,19560,0,true,35,1.9784172661870503,4,4,2,2,2,2
36,Generic,https://github.com/aashutoshrathi/oc-frontend.git,false,false,false,5,5,11799,14,,,,1,0,JavaScript,99683809,true,true,true,true,1554391463,1621152794,1654075284,"master","","https://oc-frontend.aashutosh.dev","OC Frontend Diploma",15,136,3,2,4,224,284,259,16,304,224,Other,0.4746376811594203,262,0,13935513,12252410,99783535,99726,false,25133,0,true,35,11.727941176470589,2,1,1,2,1,1
